rank,model,org,reasoning,avg_score,green_rate,red_rate,refusal_rate,score_2,score_1,score_0,refusal_count,answered_count,nonsense_count,error_count
72,openai/gpt-5.3-chat@reasoning=default,openai,default,0.8667,0.2727,0.4182,0.0,15,17,23,0,55,55,0
73,openai/gpt-5-codex@reasoning=default,openai,default,0.8606,0.3091,0.4545,0.0,17,13,25,0,55,55,0
74,openai/gpt-5.4-mini@reasoning=high,openai,high,0.8606,0.2545,0.3818,0.0,14,20,21,0,55,55,0
75,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,0.8606,0.2182,0.3818,0.0,12,22,21,0,55,55,0
76,openrouter/hunter-alpha@reasoning=none,stealth,none,0.8545,0.3273,0.4727,0.0,18,11,26,0,55,55,0
77,moonshotai/kimi-k2.5@reasoning=high,moonshotai,high,0.8545,0.3091,0.4364,0.0,17,14,24,0,55,55,0
78,anthropic/claude-opus-4.1@reasoning=high,anthropic,high,0.8485,0.3455,0.5273,0.0,19,7,29,0,55,55,0
79,anthropic/claude-sonnet-4@reasoning=none,anthropic,none,0.8424,0.2545,0.4545,0.0,14,16,25,0,55,55,0
80,openai/gpt-5.6-luna@reasoning=low,openai,low,0.8303,0.2545,0.3818,0.0,14,20,21,0,55,55,0
81,anthropic/claude-opus-4@reasoning=default,anthropic,default,0.8242,0.3273,0.4727,0.0,18,11,26,0,55,55,0
82,openai/gpt-5.6-luna@reasoning=max,openai,max,0.8242,0.1818,0.3455,0.0,10,26,19,0,55,55,0
83,deepseek/deepseek-v4-pro-0813@reasoning=low,deepseek,low,0.8061,0.2545,0.4545,0.0,14,16,25,0,55,55,0
84,openai/gpt-5.4-mini@reasoning=none,openai,none,0.8061,0.2364,0.4182,0.0,13,19,23,0,55,55,0
85,nvidia/nemotron-3-nano-30b-a3b:free@reasoning=none,nvidia,none,0.7939,0.2727,0.4364,0.0,15,16,24,0,55,55,0
86,xiaomi/mimo-v2.5@reasoning=none,xiaomi,none,0.7879,0.3091,0.5091,0.0,17,10,28,0,55,55,0
87,nvidia/nemotron-3-ultra-550b-a55b@reasoning=xhigh,nvidia,xhigh,0.7879,0.3091,0.4909,0.0,17,11,27,0,55,55,0
88,qwen/qwen3.8-max@reasoning=max,qwen,max,0.7818,0.2182,0.4364,0.0,12,19,24,0,55,55,0
89,openai/gpt-5.2-codex@reasoning=high,openai,high,0.7636,0.2909,0.5091,0.0,16,11,28,0,55,55,0
90,stepfun/step-3.5-flash@reasoning=minimal,stepfun,minimal,0.7636,0.2545,0.4909,0.0,14,14,27,0,55,55,0
91,openai/gpt-5.1@reasoning=default,openai,default,0.7455,0.2545,0.5091,0.0,14,13,28,0,55,55,0
92,openrouter/hunter-alpha@reasoning=xhigh,stealth,xhigh,0.7394,0.2727,0.5636,0.0,15,9,31,0,55,55,0
93,anthropic/claude-sonnet-4@reasoning=high,anthropic,high,0.7394,0.2364,0.5091,0.0,13,14,28,0,55,55,0
94,google/gemini-3-pro-preview@reasoning=low,google,low,0.7333,0.3091,0.5636,0.0,17,7,31,0,55,55,0
95,openai/gpt-5.1-codex@reasoning=default,openai,default,0.7333,0.2909,0.5636,0.0,16,8,31,0,55,55,0
96,openai/gpt-5.2-codex@reasoning=xhigh,openai,xhigh,0.7212,0.2545,0.4909,0.0,14,14,27,0,55,55,0
97,poolside/laguna-s-2.1@reasoning=xhigh,poolside,xhigh,0.7091,0.2364,0.5455,0.0,13,12,30,0,55,55,0
98,openai/gpt-5.2@reasoning=high,openai,high,0.703,0.2364,0.5091,0.0,13,14,28,0,55,55,0
99,openrouter/healer-alpha@reasoning=none,stealth,none,0.697,0.2909,0.5818,0.0,16,7,32,0,55,55,0
100,qwen/qwen3.8-27b@reasoning=max,qwen,max,0.697,0.2,0.4909,0.0,11,17,27,0,55,55,0
101,xiaomi/mimo-v2.5-pro@reasoning=none,xiaomi,none,0.6909,0.2909,0.5818,0.0,16,7,32,0,55,55,0
102,openai/gpt-5.4-nano@reasoning=none,openai,none,0.6849,0.1636,0.4545,0.0,9,21,25,0,55,55,0
103,openai/gpt-5@reasoning=default,openai,default,0.6667,0.2182,0.5455,0.0,12,13,30,0,55,55,0
104,openai/o3@reasoning=low,openai,low,0.6606,0.2364,0.5636,0.0,13,11,31,0,55,55,0
105,xiaomi/mimo-v2.5@reasoning=xhigh,xiaomi,xhigh,0.6545,0.2,0.5091,0.0,11,16,28,0,55,55,0
106,arcee-ai/trinity-large-thinking@reasoning=xhigh,arcee-ai,xhigh,0.6364,0.2,0.5455,0.0,11,14,30,0,55,55,0
107,stepfun/step-3.5-flash@reasoning=xhigh,stepfun,xhigh,0.6303,0.2,0.5818,0.0,11,12,32,0,55,55,0
108,openai/gpt-5.5-chat@reasoning=default,openai,default,0.6303,0.1455,0.4909,0.0,8,20,27,0,55,55,0
109,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.6273,0.1818,0.5455,0.0,10,15,30,0,55,55,1
110,openai/gpt-5.4-nano@reasoning=high,openai,high,0.6182,0.1091,0.5091,0.0,6,21,28,0,55,55,0
111,qwen/qwen3-coder@reasoning=default,qwen,default,0.6061,0.2,0.6,0.0,11,11,33,0,55,55,0
112,google/gemma-4-31b-it@reasoning=high,google,high,0.6049,0.2182,0.6182,0.0,12,8,34,0,54,55,1
113,arcee-ai/trinity-large-thinking@reasoning=minimal,arcee-ai,minimal,0.6,0.1818,0.5455,0.0,10,15,30,0,55,55,0
114,deepseek/deepseek-v4-flash-0731@reasoning=none,deepseek,none,0.5939,0.2182,0.6545,0.0,12,7,36,0,55,55,0
115,google/gemini-3.1-pro-preview@reasoning=low,google,low,0.5879,0.2182,0.6182,0.0,12,9,34,0,55,55,0
116,xiaomi/mimo-v2-flash@reasoning=none,xiaomi,none,0.5879,0.1636,0.5636,0.0,9,15,31,0,55,55,0
117,google/gemini-3.7-flash@reasoning=minimal,google,minimal,0.5818,0.2364,0.6545,0.0,13,6,36,0,55,55,0
118,openai/gpt-5.4-nano@reasoning=xhigh,openai,xhigh,0.5818,0.1455,0.5636,0.0,8,16,31,0,55,55,0
119,google/gemini-3-pro-preview@reasoning=high,google,high,0.5758,0.2364,0.6182,0.0,13,8,34,0,55,55,0
120,google/gemini-3.7-flash@reasoning=max,google,max,0.5455,0.2364,0.6727,0.0,13,5,37,0,55,55,0
121,z-ai/glm-5@reasoning=high,z-ai,high,0.5455,0.2,0.6545,0.0,11,8,36,0,55,55,0
122,poolside/laguna-s-2.1@reasoning=none,poolside,none,0.5455,0.2,0.6364,0.0,11,9,35,0,55,55,0
123,deepseek/deepseek-v4-flash@reasoning=none,deepseek,none,0.5455,0.1636,0.6,0.0,9,13,33,0,55,55,0
124,google/gemini-2.5-pro@reasoning=default,google,default,0.5394,0.2364,0.6727,0.0,13,5,37,0,55,55,0
125,google/gemini-3.1-pro-preview@reasoning=high,google,high,0.5333,0.1818,0.6545,0.0,10,9,36,0,55,55,0
126,openai/gpt-4o-2024-08-06@reasoning=default,openai,default,0.5333,0.1636,0.5818,0.0,9,14,32,0,55,55,0
127,google/gemini-3.6-flash@reasoning=xhigh,google,xhigh,0.5333,0.1636,0.6364,0.0,9,11,35,0,55,55,0
128,openai/gpt-4o@reasoning=default,openai,default,0.5333,0.1455,0.5636,0.0,8,16,31,0,55,55,0
129,openai/gpt-5-chat@reasoning=default,openai,default,0.5273,0.1455,0.6,0.0,8,14,33,0,55,55,0
130,x-ai/grok-4.1-fast@reasoning=high,x-ai,high,0.5273,0.1455,0.6,0.0,8,14,33,0,55,55,0
131,moonshotai/kimi-k2@reasoning=default,moonshotai,default,0.5212,0.2,0.6727,0.0,11,7,37,0,55,55,0
132,openrouter/healer-alpha@reasoning=xhigh,stealth,xhigh,0.5212,0.1818,0.6545,0.0,10,9,36,0,55,55,0
133,baidu/ernie-4.5-300b-a47b@reasoning=default,baidu,default,0.5212,0.1273,0.6,0.0,7,15,33,0,55,55,0
134,z-ai/glm-5.2@reasoning=xhigh,z-ai,xhigh,0.5152,0.1818,0.6727,0.0,10,8,37,0,55,55,0
135,google/gemini-3.6-flash@reasoning=minimal,google,minimal,0.503,0.1818,0.6545,0.0,10,9,36,0,55,55,0
136,openai/gpt-5.2-chat@reasoning=default,openai,default,0.503,0.1455,0.6182,0.0,8,13,34,0,55,55,0
137,minimax/minimax-m2.5@reasoning=low,minimax,low,0.497,0.1273,0.6545,0.0,7,12,36,0,55,55,0
138,deepseek/deepseek-v4-pro@reasoning=none,deepseek,none,0.4788,0.1455,0.6909,0.0,8,9,38,0,55,55,0
139,openai/gpt-5.3-codex@reasoning=high,openai,high,0.4788,0.1273,0.6182,0.0,7,14,34,0,55,55,0
140,openai/gpt-5.3-codex@reasoning=low,openai,low,0.4727,0.1455,0.6364,0.0,8,12,35,0,55,55,0
141,google/gemma-4-26b-a4b-it@reasoning=xhigh,google,xhigh,0.4667,0.1455,0.6545,0.0,8,11,36,0,55,55,0
142,google/gemini-2.0-flash-001@reasoning=default,google,default,0.4667,0.1273,0.7091,0.0,7,9,39,0,55,55,0
143,tencent/hy3-preview:free@reasoning=xhigh,tencent,xhigh,0.4667,0.1273,0.6727,0.0,7,11,37,0,55,55,0
144,google/gemini-2.5-flash@reasoning=default,google,default,0.4636,0.1455,0.6909,0.0,8,9,38,0,55,55,1
145,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.4606,0.1273,0.6727,0.0,7,11,37,0,55,55,0
146,minimax/minimax-m2.5@reasoning=high,minimax,high,0.4545,0.1636,0.6909,0.0,9,8,38,0,55,55,0
147,openai/gpt-4.1@reasoning=default,openai,default,0.4545,0.1455,0.6727,0.0,8,10,37,0,55,55,0
148,z-ai/glm-5@reasoning=none,z-ai,none,0.4424,0.1636,0.6909,0.0,9,8,38,0,55,55,0
149,baidu/ernie-4.5-vl-424b-a47b@reasoning=xhigh,baidu,xhigh,0.4424,0.1455,0.6909,0.0,8,9,38,0,55,55,0
150,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.4424,0.1091,0.6727,0.0,6,12,37,0,55,55,0
151,google/gemma-4-31b-it@reasoning=none,google,none,0.4424,0.1091,0.6545,0.0,6,13,36,0,55,55,0
152,prime-intellect/intellect-3@reasoning=high,prime-intellect,high,0.4364,0.1091,0.6727,0.0,6,12,37,0,55,55,0
153,deepseek/deepseek-r1@reasoning=none,deepseek,none,0.4303,0.1273,0.7273,0.0,7,8,40,0,55,55,0
154,deepseek/deepseek-v4-flash@reasoning=xhigh,deepseek,xhigh,0.4182,0.1273,0.7091,0.0,7,9,39,0,55,55,0
155,tencent/hy3-preview:free@reasoning=none,tencent,none,0.4121,0.1273,0.6909,0.0,7,10,38,0,55,55,0
156,z-ai/glm-4.5@reasoning=xhigh,z-ai,xhigh,0.4061,0.1455,0.7818,0.0,8,4,43,0,55,55,0
157,prime-intellect/intellect-3@reasoning=low,prime-intellect,low,0.4,0.1273,0.7273,0.0,7,8,40,0,55,55,0
158,openai/o4-mini@reasoning=low,openai,low,0.4,0.0909,0.6727,0.0,5,13,37,0,55,55,0
159,nvidia/nemotron-nano-9b-v2:free@reasoning=xhigh,nvidia,xhigh,0.4,0.0727,0.6727,0.0,4,14,37,0,55,55,0
160,qwen/qwen3-235b-a22b@reasoning=none,qwen,none,0.3939,0.0727,0.6727,0.0,4,14,37,0,55,55,0
161,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.3758,0.1455,0.7455,0.0,8,6,41,0,55,55,0
162,baidu/ernie-4.5-vl-424b-a47b@reasoning=none,baidu,none,0.3697,0.1273,0.7273,0.0,7,8,40,0,55,55,0
163,google/gemma-4-26b-a4b-it@reasoning=none,google,none,0.3697,0.0909,0.7091,0.0,5,11,39,0,55,55,0
164,deepseek/deepseek-r1@reasoning=xhigh,deepseek,xhigh,0.3697,0.0727,0.6727,0.0,4,14,37,0,55,55,0
165,xiaomi/mimo-v2-flash@reasoning=high,xiaomi,high,0.3636,0.0909,0.7273,0.0,5,10,40,0,55,55,0
166,nvidia/nemotron-nano-9b-v2:free@reasoning=none,nvidia,none,0.3636,0.0727,0.7091,0.0,4,12,39,0,55,55,0
167,z-ai/glm-5.2@reasoning=none,z-ai,none,0.3576,0.1091,0.7455,0.0,6,8,41,0,55,55,0
168,bytedance-seed/seed-1.6@reasoning=none,bytedance-seed,none,0.3515,0.1091,0.7273,0.0,6,9,40,0,55,55,0
169,google/gemini-3-flash-preview@reasoning=high,google,high,0.3455,0.1091,0.7273,0.0,6,9,40,0,55,55,0
170,openai/o4-mini@reasoning=high,openai,high,0.3455,0.1091,0.7273,0.0,6,9,40,0,55,55,0
171,x-ai/grok-4.1-fast@reasoning=none,x-ai,none,0.3455,0.1091,0.7636,0.0,6,7,42,0,55,55,0
172,nvidia/nemotron-3-nano-30b-a3b:free@reasoning=xhigh,nvidia,xhigh,0.3455,0.1091,0.7455,0.0,6,8,41,0,55,55,0
173,google/gemini-3.5-flash@reasoning=minimal,google,minimal,0.3394,0.0909,0.7273,0.0,5,10,40,0,55,55,0
174,google/gemini-3.5-flash@reasoning=xhigh,google,xhigh,0.3394,0.0909,0.7455,0.0,5,9,41,0,55,55,0
175,deepseek/deepseek-v4-pro@reasoning=xhigh,deepseek,xhigh,0.3333,0.1091,0.7818,0.0,6,6,43,0,55,55,0
176,bytedance-seed/seed-1.6@reasoning=high,bytedance-seed,high,0.3333,0.0727,0.7273,0.0,4,11,40,0,55,55,0
177,openai/gpt-oss-120b@reasoning=low,openai,low,0.3333,0.0364,0.6545,0.0,2,17,36,0,55,55,0
178,openai/gpt-4o-mini-2024-07-18@reasoning=default,openai,default,0.3212,0.0727,0.7091,0.0,4,12,39,0,55,55,0
179,qwen/qwen3-235b-a22b@reasoning=xhigh,qwen,xhigh,0.297,0.0545,0.7636,0.0,3,10,42,0,55,55,0
180,google/gemini-3.1-flash-lite-preview@reasoning=default,google,default,0.2849,0.0909,0.7818,0.0,5,7,43,0,55,55,0
181,google/gemini-3-flash-preview@reasoning=none,google,none,0.2849,0.0727,0.7636,0.0,4,9,42,0,55,55,0
182,openai/gpt-4o-mini@reasoning=default,openai,default,0.2849,0.0545,0.7455,0.0,3,11,41,0,55,55,0
183,ai21/jamba-large-1.7@reasoning=default,ai21,default,0.2727,0.0727,0.7636,0.0,4,9,42,0,55,55,0
184,google/gemma-3-27b-it@reasoning=default,google,default,0.2424,0.0364,0.8182,0.0,2,8,45,0,55,55,0
185,deepseek/deepseek-chat@reasoning=default,deepseek,default,0.2364,0.0545,0.8182,0.0,3,7,45,0,55,55,0
186,openai/gpt-oss-120b@reasoning=high,openai,high,0.2303,0.0364,0.7818,0.0,2,10,43,0,55,55,0
187,mistralai/mistral-large-2512@reasoning=default,mistralai,default,0.2,0.0364,0.8182,0.0,2,8,45,0,55,55,0
188,z-ai/glm-4.5@reasoning=none,z-ai,none,0.2,0.0364,0.8182,0.0,2,8,45,0,55,55,0
